"도, 시/구역/군 별",2008,2008,2008,2008,2008,2008,2008,2008,2008
"도, 시/구역/군 별",모든지역,모든지역,모든지역,도시,도시,도시,농촌,농촌,농촌
"도, 시/구역/군 별",계,남자,녀자,계,남자,녀자,계,남자,녀자
"갑산군",70611,32980,37631,36404,16989,19415,34207,15991,18216
"강계시",251971,120305,131666,251971,120305,131666,-,-,-
"강남군",69279,32144,37135,19254,9053,10201,50025,23091,26934
"강동군",221539,103892,117647,160372,75078,85294,61167,28814,32353
"강령군",106827,50342,56485,38729,18180,20549,68098,32162,35936
"강서군",191356,90625,100731,119848,57005,62843,71508,33620,37888
"강원도",1477582,695067,782515,725611,341462,384149,751971,353605,398366
"개성시",308440,146145,162295,192578,90653,101925,115862,55492,60370
"개천시",319554,151088,168466,262389,124222,138167,57165,26866,30299
"경성군",105909,49736,56173,70533,32975,37558,35376,16761,18615
"경원군",107327,50433,56894,47070,22082,24988,60257,28351,31906
"경흥군",89244,42050,47194,66553,31415,35138,22691,10635,12056
"고산군",103579,48481,55098,31672,14948,16724,71907,33533,38374
"고성군",61277,28939,32338,20330,9497,10833,40947,19442,21505
"고원군",94963,44531,50432,43916,20701,23215,51047,23830,27217
"고풍군",31572,15095,16477,10589,5019,5570,20983,10076,10907
"곡산군",120693,57252,63441,16301,7755,8546,104392,49497,54895
"과일군",89895,42213,47682,22519,10540,11979,67376,31673,35703
"곽산군",97660,46235,51425,22739,10724,12015,74921,35511,39410
"구성시",196515,93212,103303,155181,73677,81504,41334,19535,21799
"구장군",139337,65457,73880,91900,43034,48866,47437,22423,25014
"금강군",54211,25678,28533,12176,5678,6498,42035,20000,22035
"금야군",211140,98759,112381,73094,34091,39003,138046,64668,73378
"금천군",68216,32494,35722,16035,7552,8483,52181,24942,27239
"금호지구",37430,17349,20081,13316,6213,7103,24114,11136,12978
"길주군",139932,65308,74624,74154,34639,39515,65778,30669,35109
"김정숙군",42618,20020,22598,19840,9256,10584,22778,10764,12014
"김책시",207299,97604,109695,155284,73133,82151,52015,24471,27544
"김형권군",37528,17484,20044,12635,5924,6711,24893,11560,13333
"김형직군",57729,27336,30393,41610,19618,21992,16119,7718,8401
"김화군",56541,26710,29831,18525,8715,9810,38016,17995,20021
"남포시",366815,176767,190048,310864,150091,160773,55951,26676,29275
"녕변군",113852,54007,59845,29998,14090,15908,83854,39917,43937
"녕원군",30427,14603,15824,11537,5505,6032,18890,9098,9792
"단천시",345875,162491,183384,240873,113221,127652,105002,49270,55732
"대관군",69565,33374,36191,38274,18478,19796,31291,14896,16395
"대동강구역",207081,99444,107637,207081,99444,107637,-,-,-
"대동군",129761,61953,67808,50380,24023,26357,79381,37930,41451
"대성구역",115739,55922,59817,115739,55922,59817,-,-,-
"대안군",77219,37265,39954,66261,31924,34337,10958,5341,5617
"대흥군",32915,15584,17331,14362,6776,7586,18553,8808,9745
"대흥단군",35596,16702,18894,9407,4348,5059,26189,12354,13835
"덕성군",97617,45935,51682,27889,13159,14730,69728,32776,36952
"덕천시",237133,112373,124760,210571,99655,110916,26562,12718,13844
"동대원구역",143561,69566,73995,143561,69566,73995,-,-,-
"동림군",104614,49410,55204,49151,23169,25982,55463,26241,29222
"동신군",47460,22285,25175,8737,4086,4651,38723,18199,20524
"동창군",28665,13527,15138,10031,4692,5339,18634,8835,9799
"동흥산구역*",120559,58212,62347,112584,54486,58098,7975,3726,4249
"득장구",50033,23789,26244,42806,20377,22429,7227,3412,3815
"라남구역*",112343,54444,57899,107799,52263,55536,4544,2181,2363
"라선시",196954,92963,103991,158337,74777,83560,38617,18186,20431
"락랑구역",282681,134766,147915,255620,121443,134177,27061,13323,13738
"락원군",60700,28518,32182,22740,10731,12009,37960,17787,20173
"랑림군",36481,17437,19044,15301,7287,8014,21180,10150,11030
"량강도",719269,338705,380564,464690,218834,245856,254579,119871,134708
"력포구역",82548,38432,44116,60922,28366,32556,21626,10066,11560
"롱림군",32727,15442,17285,7327,3404,3923,25400,12038,13362
"룡강군",58930,27817,31113,20045,9434,10611,38885,18383,20502
"룡성구역",195891,93106,102785,195891,93106,102785,-,-,-
"룡천군",135634,64061,71573,69151,32745,36406,66483,31316,35167
"룡천군",90102,42324,47778,28052,13182,14870,62050,29142,32908
"리원군",117320,55141,62179,57036,26848,30188,60284,28293,31991
"린산군",73626,35094,38532,18938,9049,9889,54688,26045,28643
"만경대구역",321690,153551,168139,315955,150794,165161,5735,2757,2978
"만포시",116760,55366,61394,82631,39202,43429,34129,16164,17965
"맹산군",48155,23071,25084,13642,6506,7136,34513,16565,17948
"명간군",99557,46730,52827,49968,23550,26418,49589,23180,26409
"명천군",65797,30440,35357,33439,15424,18015,32358,15016,17342
"모란봉구역",143404,68129,75275,143404,68129,75275,-,-,-
"무산군",123721,59354,64367,84547,40670,43877,39174,18684,20490
"문덕군",147191,69164,78027,44159,20699,23460,103032,48465,54567
"문천시",122934,57071,65863,92525,42915,49610,30409,14156,16253
"박천군",98128,46093,52035,29277,13581,15696,68851,32512,36339
"배천군",159825,75598,84227,40316,18953,21363,119509,56645,62864
"백암군",67683,31677,36006,46256,21626,24630,21427,10051,11376
"법동군",35119,16552,18567,8609,4055,4554,26510,12497,14013
"벽동군",35601,16945,18656,8525,4031,4494,27076,12914,14162
"벽성군",90753,42820,47933,20663,9743,10920,70090,33077,37013
"보천군",37225,17712,19513,17077,8166,8911,20148,9546,10602
"보통강구역",105180,50423,54757,105180,50423,54757,-,-,-
"봉산군",124745,58668,66077,33063,15588,17475,91682,43080,48602
"봉천군",79740,37795,41945,18273,8639,9634,61467,29156,32311
"부령군",48958,23241,25717,38118,18086,20032,10840,5155,5685
"부윤구역*",20258,9797,10461,15313,7436,7877,4945,2361,2584
