Province,Total,Male Total,Femal Total,Urban Total,Urban Male,Urban Female,Rural Total,Rural Male,Rural Female
Ryanggang,719269,338705,380564,464690,218834,245856,254579,119871,134708
North Hamgyong,2327362,1100172,1227190,1645886,778985,866901,681476,321187,360289
South Hamgyong,3066013,1444493,1621520,1811074,856008,955066,1254939,588485,666454
Kangwon,1477582,695067,782515,725611,341462,384149,751971,353605,398366
Jagang,1299830,616828,683002,828253,392660,435593,471577,224168,247409
North Pyongan,2740472,1296932,1443540,1440649,681294,759355,1299823,615638,684185
South Pyongan,3068036,1459080,1608956,1926555,916991,1009564,1141481,542089,599392
North Hwanghae,2353149,1114433,1238716,1054598,499607,554991,1298551,614826,683725
South Hwanghae,2224443,1050360,1174083,795220,376322,418898,1429223,674038,755185
Pyongyang,3015811,1438457,1577354,2741448,1308843,1432605,274363,129614,144749
Nampo,983660,469855,513805,703388,336814,366574,280272,133041,147231
